id;code;name;country_id
1;AB;Alba;182
2;AG;Argeș;182
3;AR;Arad;182
4;B;București;182
5;BC;Bacău;182
6;BH;Bihor;182
7;BN;Bistrița Năsăud;182
8;BR;Brăila;182
9;BT;Botoșani;182
10;BV;Brașov;182
11;BZ;Buzău;182
12;CJ;Cluj;182
13;CL;Călărași;182
14;CS;Caraș-Severin;182
15;CT;Constanța;182
16;CV;Covasna;182
17;DB;Dâmbovița;182
18;DJ;Dolj;182
19;GJ;Gorj;182
20;GL;Galați;182
21;GR;Giurgiu;182
22;HD;Hunedoara;182
23;HR;Harghita;182
24;IF;Ilfov;182
25;IL;Ialomița;182
26;IS;Iași;182
27;MH;Mehedinți;182
28;MM;Maramureș;182
29;MS;Mureș;182
30;NT;Neamț;182
31;OT;Olt;182
32;PH;Prahova;182
33;SB;Sibiu;182
34;SJ;Sălaj;182
35;SM;Satu-Mare;182
36;SV;Suceava;182
37;TL;Tulcea;182
38;TM;Timiș;182
39;TR;Teleorman;182
40;VL;Vâlcea;182
41;VN;Vrancea;182
42;VS;Vaslui;182
